date,value
23-03-2014,$0.96
16-03-2014,$1.25
09-03-2014,$1.10
02-03-2014,$1.25
23-02-2014,$1.13
16-02-2014,$1.13
09-02-2014,$1.50
02-02-2014,$2.00
26-01-2014,$2.00
19-01-2014,$2.25
12-01-2014,$2.38
05-01-2014,$2.38
29-12-2013,$2.38
22-12-2013,$2.38
15-12-2013,$2.88
01-12-2013,$2.38
24-11-2013,$2.13
17-11-2013,$2.54
10-11-2013,$1.92
06-11-2013,$1.40
03-11-2013,$1.83
27-10-2013,$1.40
20-10-2013,$1.42
13-10-2013,$1.46
22-09-2013,$1.38
15-09-2013,$1.41
01-09-2013,$1.56
25-08-2013,$1.44
18-08-2013,$1.38
11-08-2013,$1.22
04-08-2013,$1.03
28-07-2013,$0.88
21-07-2013,$0.91
14-07-2013,$0.88
07-07-2013,$0.97
30-06-2013,$1.09
23-06-2013,$1.13
16-06-2013,$1.06
09-06-2013,$1.00
02-06-2013,$0.97
26-05-2013,$0.97
19-05-2013,$1.13
12-05-2013,$1.19
05-05-2013,$1.02
28-04-2013,$0.77
21-04-2013,$0.83
14-04-2013,$0.79
07-04-2013,$0.80
31-03-2013,$0.81
24-03-2013,$1.00
17-03-2013,$1.50
10-03-2013,$1.69
03-03-2013,$1.69
24-02-2013,$1.66
17-02-2013,$1.63
10-02-2013,$1.50
03-02-2013,$1.50
27-01-2013,$1.38
20-01-2013,$0.94
13-01-2013,$1.50
06-01-2013,$1.75
30-12-2012,$2.13
23-12-2012,$2.63
16-12-2012,$2.88
09-12-2012,$2.88
02-12-2012,$2.81
25-11-2012,$2.50
18-11-2012,$2.38
11-11-2012,$2.08
04-11-2012,$1.75
28-10-2012,$1.58
21-10-2012,$1.46
14-10-2012,$1.29
07-10-2012,$1.29
30-09-2012,$1.23
23-09-2012,$1.25
16-09-2012,$1.25
09-09-2012,$1.19
02-09-2012,$1.06
26-08-2012,$1.03
19-08-2012,$1.03
12-08-2012,$1.16
12-08-2012,$1.16
05-08-2012,$1.03
29-07-2012,$0.91
22-07-2012,$0.34
15-07-2012,$0.94
08-07-2012,$0.91
01-07-2012,$0.91
24-06-2012,$0.91
17-06-2012,$0.91
10-06-2012,$0.91
03-06-2012,$0.88
27-05-2012,$0.84
20-05-2012,$1.08
13-05-2012,$1.09
13-05-2012,$1.09
06-05-2012,$1.00
29-04-2012,$1.06
22-04-2012,$1.02
15-04-2012,$1.19
08-04-2012,$1.35
01-04-2012,$1.50
25-03-2012,$1.52
18-03-2012,$1.46
11-03-2012,$1.31
04-03-2012,$1.25
26-02-2012,$1.50
19-02-2012,$1.63
12-02-2012,$1.63
05-02-2012,$1.56
29-01-2012,$1.44
22-01-2012,$1.56
15-01-2012,$1.94
08-01-2012,$1.78
01-01-2012,$1.63
25-12-2011,$1.04
18-12-2011,$1.31
11-12-2011,$2.38
04-12-2011,$1.40
27-11-2011,$2.38
20-11-2011,$2.25
13-11-2011,$2.13
06-11-2011,$1.69
30-10-2011,$1.10
23-10-2011,$1.19
16-10-2011,$0.32
09-10-2011,$1.50
02-10-2011,$1.15
25-09-2011,$1.00
11-09-2011,$1.38
04-09-2011,$1.25
28-08-2011,$1.19
21-08-2011,$1.13
14-08-2011,$1.03
07-08-2011,$1.03
31-07-2011,$1.09
24-07-2011,$1.09
17-07-2011,$1.03
10-07-2011,$0.94
03-07-2011,$0.94
26-06-2011,$0.94
19-06-2011,$0.94
12-06-2011,$0.91
05-06-2011,$1.00
29-05-2011,$0.88
22-05-2011,$1.00
